,author,updated_at,like_count,text,public
172,@DinRama,2025-03-11T16:39:34Z,0,"Fitur Smart Connect nolong bgt buat kerja , 6s gen 3 raw powernya mantap , kamera stabil depan belakang , double speaker dolby lagi 

Comment pake Moto G, sdh terbukti mulus lancar",True
173,@iqbaljegel9611,2025-03-11T15:57:51Z,0,Aosp🗿,True
174,@ahmadalibuni,2025-03-11T14:14:48Z,1,Ini kalau harganya dimahalin dikit tapi dapet resolusi layar lebih pasti ok sih.,True
175,@nrcputra3458,2025-03-11T13:41:19Z,0,21:36 = lagu bocil kematian 😅,True
176,@diablodizzy.,2025-03-11T12:27:23Z,0,13:32 Iqoo Z9x pake sd6 gen 1 bukannya udah 500rb ya?,True
177,@xplore-2m686,2025-03-11T12:07:12Z,0,Terlalu bertele2 nerangin hp aja bs 20 menit..hadehh,True
178,@YogaFebrianaIsmawan,2025-03-11T06:32:47Z,0,"beberapa hari yg lalu sy beli hp ini, namun setelah penggunaan jaringan seluler seringkali bertanda seru (!) pada iconnya dan tidak bisa difungsikan. adakah teman2 yang tau penyebabnya dan bagaimana solusinya?",True
179,@dudywardhana7801,2025-03-11T06:27:06Z,0,keren si,True
180,@Barden45,2025-03-11T05:19:19Z,0,"motorola bisa saingan , pasti. gua yakin.. apalagi LOGO motorola yang berbentuk M itu sangat mewah sekali.. beuhhhh serasa hape mahal
skor antutu 400rb + layar 720p.. kenceng sih ini. keuntungan 720p adalah kalau di pake main game, beban gpu dan cpu tidak berat karena resolusi nya kecil. mantappp sih ini",True
181,@aprianhamdan1795,2025-03-11T03:53:40Z,0,Bukannya tinggian antutu Nubia neo 2 ya? Apa Salah?,True
182,@aseprahmatsubagia9700,2025-03-10T23:49:08Z,0,👍,True
183,@wwyverns,2025-03-10T22:05:41Z,0,"bantu pilih dong teman teman
-motorola G45 5G
-infinix note 40 pro
-infinix note 50 pro
-infinix hot 50pro+ 5G",True
184,@wellykaren5878,2025-03-10T17:38:14Z,1,Welcome back LEGENG🔥🔥🔥,True
185,@OPSBANYUWANGI,2025-03-10T16:12:36Z,0,"Toko orange, hujau dll udh ada official store belm?",True
186,@msbnjklbnmjkln4482,2025-03-10T15:28:28Z,0,battle motorola vs samsung,True
187,@HalemiaStores,2025-03-10T14:21:15Z,0,Tambah “P” jadi moto gp tuh bang 😂,True
188,@ferinanda,2025-03-10T11:42:22Z,0,Bng bahas motorola g85 5g,True
189,@Zenzzeross,2025-03-10T11:12:18Z,0,"00:00 Motorola is BACK!
00:45 Sedikit legenda Motorola
01:20 Desain simpel saja
02:40 Jangan kegocek gambar
04:00 Isi kotaknya
05:50 Aksesoris hitam
07:10 Varian warna lain
08:35 FItur2 di bodinya
10:20 Lokal sekaliii
11:25 UI sederhana
12:20 Display HD
13:30 Snapdragon 6s Gen 3!
14:25 Main MLBB
15:30 Keanehan di Genshin Impact
17:10 Bukti kalau HPnya terlalu santai
17:30 Update 2 tahun saja
18:15 yang special dari Moto G45 5G
19:00 Berasa iPhone MacBook
19:35 Berasa punya 2 HP
22:00 Android lain kecewa
23:10 Hampir lupa
23:50 Fitur niat lain
24:50 Speaker
25:45 Cobain kamera
29:00 Kesimpulan Moto G45 5G",True
190,@SriWigatiningsih-k3c,2025-03-10T07:07:04Z,0,Banding sama note 14 mending mana kamerany?,True
191,@EmaPurnamasari-p8k,2025-03-09T15:54:08Z,0,Ini exclusive sih design box nya,True
192,@bayida99,2025-03-09T13:29:12Z,0,Bang buat vs hp 2 jutaan yg kameranya bagus,True
193,@ScutumEterno,2025-03-09T12:49:05Z,1,Menunggu Komentar Dr.Tirta,True
194,@mamatcallu1375,2025-03-09T11:38:02Z,1,Aduh pngn ganti dah,True
195,@utarktrc7155,2025-03-09T06:57:39Z,0,"Poin yang di dapat sampai saya mau beli itu stabil 🥳🥳🥳
Jelas"" HP bukan jual Gimik 🤣🤣🤣 di adu  sama"" hp jual gimik yang ujung"" nya hp gampang eror gampang panas berasa mau meluduk 🤣🤣🤣

Apa NOKIA bakal ikut Comeback 😂😂 makin seru sihh sampe mencul",True
196,@warzeredly1370,2025-03-09T06:03:20Z,0,Motorola nggada galeri nya ya?,True
197,@Memorysejarah,2025-03-09T04:39:37Z,1,logonya mirip logo gadget in😁,True
